frequency,sdre_mean,sdre_std,delta_power,theta_power,alpha_power,beta_power,plv,order_parameter
11.5,-0.04516203108585078,0.4952418238686634,0.6216512653092878,0.13893890767288955,0.12163140162012559,0.11777842539769709,0.28073688917703477,0.2710771380589291
11.55,-0.04814873000803466,0.50625775450579,0.6225514942086174,0.1383082418617661,0.12125344329196766,0.11788682063764874,0.2740200387500714,0.2708060020891953
11.6,-0.01694598591197407,0.5360309551824525,0.6249864392118132,0.13736619900732008,0.1206449332951934,0.11700242848567335,0.28261859847094023,0.2725690367503005
11.65,-0.05347801617426473,0.5586527347535467,0.6214127693844407,0.1397685493359255,0.12062167392066143,0.11819700735897237,0.2812651010457786,0.2763582991457849
11.7,-0.012303395610729701,0.5399874628605238,0.6242630712753816,0.13835749540736197,0.12035328673140819,0.11702614658584823,0.27866728372456273,0.2741964016651229
11.75,-0.08127752617509179,0.518585849774475,0.6244392342040984,0.13746423194587862,0.12147793712391598,0.116618596726107,0.2884150427165355,0.2843793229362745
11.8,-0.02551802226954843,0.4683475897353713,0.623526472497958,0.13739746136352995,0.12068909942769965,0.1183869667108123,0.2840249158655586,0.28079169888154876
11.85,-0.005574368915490944,0.5524082092512808,0.6248995437914933,0.13653818197330994,0.12023820222441808,0.11832407201077869,0.28091458779972567,0.2813949219701056
11.9,-0.051659012170875956,0.4447943613920752,0.6222761073096946,0.13733858073455887,0.12128866389615561,0.11909664805959087,0.280463026516962,0.27599432900480225
11.95,-0.0540585525178712,0.5056425665241393,0.6238501412074732,0.1382762401728834,0.12021761764599846,0.11765600097364494,0.27714405596626956,0.2736140601031124
12.0,-0.0015148347443293955,0.47953496722339634,0.6239415549702252,0.13800196382721852,0.12071628807042009,0.1173401931321362,0.27970119159166124,0.2702800154284328
12.05,-0.038424219956071336,0.49318705828946174,0.6234079241688399,0.137954334389072,0.12170430923041108,0.11693343221167701,0.280774838085689,0.2744352648726711
12.1,0.05018393131387944,0.5681736864360579,0.625720084730257,0.13750594295285884,0.11999040981385932,0.11678356250302488,0.2919597115833221,0.28292702776356027
12.15,-0.01320492513603083,0.5263421064197004,0.6241462266110754,0.13870320086005017,0.11996192572039657,0.1171886468084778,0.28396523984090716,0.2778950357262446
12.2,0.0019115803885516836,0.5526545191230673,0.6218075870110454,0.13916238209309076,0.12135716288094132,0.1176728680149224,0.28152834946120747,0.2769264549676665
